City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Mogotes,CO,75.92,overcast clouds,6.4756,-72.9705,Hostal Hacienda Villarreal
11,Port Blair,IN,77.04,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
15,Makakilo City,US,75.61,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
16,Rikitea,PF,79.07,clear sky,-23.1203,-134.9692,People ThankYou
17,Lompoc,US,83.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
18,Carnarvon,AU,80.67,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
24,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
25,Gabu,GW,88.99,clear sky,12.2833,-14.2167,Hotel karsa
27,Banjar,ID,78.66,overcast clouds,-8.19,114.9675,The Hamsa Resort
28,Lorengau,PG,81.64,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
44,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
45,Cidreira,BR,78.66,clear sky,-30.1811,-50.2056,Hotel Castelo
49,Mahebourg,MU,79.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
50,Bubaque,GW,79.47,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
52,Butaritari,KI,81.03,light rain,3.0707,172.7902,Isles Sunset Lodge
59,Bom Jesus,BR,88.7,moderate rain,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
64,Porto Belo,BR,87.64,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
69,Pemangkat,ID,75.47,overcast clouds,1.1667,108.9667,Ramah Kost KITA
71,Bafoulabe,ML,85.82,clear sky,13.8065,-10.8321,Logement du Chargé SIS Abdoul Karim Konaté
73,Tucurui,BR,83.68,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
74,Chimbote,PE,76.77,overcast clouds,-9.0853,-78.5783,Hotel Viera Chimbote
75,Bambous Virieux,MU,79.05,few clouds,-20.3428,57.7575,Casa Tia Villa
88,Kudahuvadhoo,MV,81.81,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
92,Ahipara,NZ,75.09,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
98,San Patricio,US,77.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
99,Kavieng,PG,81.09,light rain,-2.5744,150.7967,Nusa Island Retreat
102,Puerto Ayora,EC,82.36,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
103,Brokopondo,SR,81.93,broken clouds,4.75,-55.1667,Matu Island
104,Pacific Grove,US,76.3,clear sky,36.6177,-121.9166,Lovers Point Inn
108,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
112,Salalah,OM,75.29,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
121,Valdez,EC,79.72,light rain,1.2492,-78.9831,Casa Alquiler Doña Yenner y Don Wacho
122,Agutaya,PH,78.76,overcast clouds,11.148,120.9417,
123,Niquero,CU,81.28,broken clouds,20.0431,-77.5828,Islazul Niquero
125,Key West,US,77.0,broken clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
132,Faanui,PF,81.54,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
133,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
139,Vao,NC,80.55,light rain,-22.6667,167.4833,Hotel Kou-Bugny
141,Aloleng,PH,76.5,clear sky,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
142,Vila Velha,BR,76.95,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
145,Phangnga,TH,77.04,overcast clouds,8.4509,98.5298,Sunimit Mansion
150,Kahului,US,75.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
151,Maceio,BR,87.24,scattered clouds,-9.6658,-35.7353,Poutur Pousada
152,Hithadhoo,MV,81.7,overcast clouds,-0.6,73.0833,Scoop Guest House
154,Buchanan,LR,89.56,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
170,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
176,Hilo,US,75.61,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
177,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
181,Arraial Do Cabo,BR,76.86,light intensity drizzle,-22.9661,-42.0278,Pousada Porto Praia
184,Cayenne,GF,80.64,light rain,4.9333,-52.3333,Hôtel Le Dronmi
186,Grand-Santi,GF,80.67,scattered clouds,4.25,-54.3833,Hotel La Villa Couacou
187,Mount Isa,AU,83.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
188,Port Keats,AU,80.65,clear sky,-14.25,129.55,TDC Village (Hundred Man Camp)
194,Caravelas,BR,84.31,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
