City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nishihara,JP,26.1842,127.7558,65.48,77,100,10.36,overcast clouds
1,Nanortalik,GL,60.1432,-45.2371,30.07,80,100,5.7,overcast clouds
2,Qianan,CN,44.9932,124.0581,-8.28,100,38,3.02,scattered clouds
3,Jamestown,US,42.097,-79.2353,51.12,45,100,17.27,overcast clouds
4,Barcelos,PT,41.5388,-8.6151,59.92,88,100,2.77,overcast clouds
5,East London,ZA,-33.0153,27.9116,72.54,88,20,3.44,few clouds
6,Mogotes,CO,6.4756,-72.9705,75.92,54,100,6.2,overcast clouds
7,Uva,RU,56.9908,52.1852,20.46,96,100,4.97,snow
8,Geraldton,AU,-28.7667,114.6,73.13,88,19,6.91,few clouds
9,Ushuaia,AR,-54.8,-68.3,55.06,67,40,26.46,scattered clouds
10,Tommot,RU,58.9564,126.2925,-16.87,100,99,1.32,overcast clouds
11,Port Blair,IN,11.6667,92.75,77.04,83,40,0.0,mist
12,Nabire,ID,-3.3667,135.4833,74.97,94,100,3.47,overcast clouds
13,Chokurdakh,RU,70.6333,147.9167,-5.6,97,100,12.33,overcast clouds
14,Nikolskoye,RU,59.7035,30.7861,28.29,92,39,8.63,scattered clouds
15,Makakilo City,US,21.3469,-158.0858,75.61,78,0,4.61,clear sky
16,Rikitea,PF,-23.1203,-134.9692,79.07,73,8,17.52,clear sky
17,Lompoc,US,34.6391,-120.4579,83.12,42,0,4.61,clear sky
18,Carnarvon,AU,-24.8667,113.6333,80.67,74,75,4.61,broken clouds
19,Bluff,NZ,-46.6,168.3333,51.8,65,25,13.2,scattered clouds
20,Naze,JP,28.3667,129.4833,57.42,66,100,8.08,overcast clouds
21,Shibetsu,JP,43.659,145.132,15.98,88,39,5.61,scattered clouds
22,Mombaca,BR,-5.7431,-39.6275,91.65,35,100,6.78,overcast clouds
23,Srednekolymsk,RU,67.45,153.6833,-38.09,100,31,5.77,scattered clouds
24,Vaini,TO,-21.2,-175.2,78.96,94,40,4.61,scattered clouds
25,Gabu,GW,12.2833,-14.2167,88.99,8,2,6.06,clear sky
26,Mar Del Plata,AR,-38.0023,-57.5575,64.42,73,100,25.32,overcast clouds
27,Banjar,ID,-8.19,114.9675,78.66,94,100,1.81,overcast clouds
28,Lorengau,PG,-2.0226,147.2712,81.64,78,100,10.89,overcast clouds
29,College,US,64.8569,-147.8028,-1.77,75,100,8.05,overcast clouds
30,Lashio,MM,22.9333,97.75,50.2,66,0,1.66,clear sky
31,Hemsedal,NO,60.8629,8.5534,8.78,93,42,6.67,scattered clouds
32,Westport,US,41.1415,-73.3579,58.05,45,2,1.99,clear sky
33,Kodiak,US,57.79,-152.4072,36.91,93,100,6.91,mist
34,Bengkulu,ID,-3.8004,102.2655,74.52,88,100,5.21,overcast clouds
35,Bethel,US,41.3712,-73.414,55.85,40,0,18.41,clear sky
36,Kapaa,US,22.0752,-159.319,69.19,84,0,8.05,clear sky
37,Lyubytino,RU,58.8122,33.3922,28.45,95,100,8.41,overcast clouds
38,Dingle,PH,10.9995,122.6711,74.59,91,100,7.02,overcast clouds
39,Lodja,CD,-3.4833,23.4333,72.95,83,100,1.86,light rain
40,Hobart,AU,-42.8794,147.3294,51.26,76,75,10.36,broken clouds
41,Lere,NG,10.387,8.5726,72.84,14,43,6.98,scattered clouds
42,Lagoa,PT,39.05,-27.9833,59.79,79,100,13.6,overcast clouds
43,Fort-Shevchenko,KZ,44.5086,50.263,38.77,86,100,9.4,overcast clouds
44,Bathsheba,BB,13.2167,-59.5167,84.81,51,20,27.63,few clouds
45,Cidreira,BR,-30.1811,-50.2056,78.66,72,0,16.33,clear sky
46,Busselton,AU,-33.65,115.3333,60.08,90,37,4.29,scattered clouds
47,Punta Arenas,CL,-53.15,-70.9167,59.02,62,0,14.97,clear sky
48,Zhigansk,RU,66.7697,123.3711,-29.02,100,93,5.93,overcast clouds
49,Mahebourg,MU,-20.4081,57.7,79.09,83,20,1.14,few clouds
50,Bubaque,GW,11.2833,-15.8333,79.47,66,56,14.45,broken clouds
51,Zhaozhou,CN,45.6833,125.3167,-7.83,100,51,6.06,broken clouds
52,Butaritari,KI,3.0707,172.7902,81.03,79,58,15.77,light rain
53,Newport,GB,51.5877,-2.9984,44.76,78,99,12.28,overcast clouds
54,Iisalmi,FI,63.5592,27.1907,21.22,92,9,7.49,clear sky
55,Upernavik,GL,72.7868,-56.1549,-15.29,79,100,14.5,overcast clouds
56,Port Elizabeth,ZA,-33.918,25.5701,68.29,83,0,3.44,clear sky
57,Dasoguz,TM,41.8363,59.9666,33.91,86,0,6.91,clear sky
58,Port Alfred,ZA,-33.5906,26.891,70.56,85,9,6.26,clear sky
59,Bom Jesus,BR,-9.0744,-44.3586,88.7,49,67,2.62,moderate rain
60,Hasaki,JP,35.7333,140.8333,30.6,57,13,13.76,few clouds
61,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,69,75,16.11,broken clouds
62,Jiangyou,CN,31.7667,104.7167,42.01,73,100,2.66,overcast clouds
63,Victoria,HK,22.2855,114.1577,66.25,87,33,1.99,scattered clouds
64,Porto Belo,BR,-27.1578,-48.5531,87.64,65,1,12.59,clear sky
65,Lebu,CL,-37.6167,-73.65,61.68,59,0,22.79,clear sky
66,Thompson,CA,55.7435,-97.8558,-20.04,57,0,8.05,clear sky
67,Mataura,NZ,-46.1927,168.8643,51.48,92,95,3.89,overcast clouds
68,Dwarka,IN,22.2394,68.9678,71.28,55,0,10.49,clear sky
69,Pemangkat,ID,1.1667,108.9667,75.47,92,100,4.52,overcast clouds
70,Clyde River,CA,70.4692,-68.5914,-16.37,76,100,32.21,heavy snow
71,Bafoulabe,ML,13.8065,-10.8321,85.82,8,1,6.24,clear sky
72,Saldanha,ZA,-33.0117,17.9442,68.05,90,0,21.0,clear sky
73,Tucurui,BR,-3.7661,-49.6725,83.68,77,79,2.39,broken clouds
74,Chimbote,PE,-9.0853,-78.5783,76.77,66,95,11.72,overcast clouds
75,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,20,1.14,few clouds
76,Kaitangata,NZ,-46.2817,169.8464,54.36,87,100,4.05,overcast clouds
77,Abay,KZ,49.6311,72.8539,-1.82,86,100,13.49,overcast clouds
