City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Qaanaaq,GL,2022-02-09 23:20:49,77.484,-69.3632,-21.77,78,99,7.18
1,At-Bashi,KG,2022-02-09 23:20:49,41.1702,75.8106,0.73,85,89,2.42
2,Arraial Do Cabo,BR,2022-02-09 23:20:08,-22.9661,-42.0278,69.93,89,100,4.32
3,Cape Town,ZA,2022-02-09 23:20:50,-33.9258,18.4232,69.89,81,75,3.44
4,Ushuaia,AR,2022-02-09 23:20:50,-54.8,-68.3,49.66,46,75,19.57
5,Antalaha,MG,2022-02-09 23:20:51,-14.9003,50.2788,75.2,93,81,3.98
6,Shimoda,JP,2022-02-09 23:20:51,34.6667,138.95,41.36,95,100,18.97
7,Sande,DE,2022-02-09 23:20:52,53.5049,8.0142,46.0,95,100,7.07
8,Bethel,US,2022-02-09 23:17:43,41.3712,-73.414,38.98,65,17,5.08
9,Salalah,OM,2022-02-09 23:20:53,17.0151,54.0924,66.29,22,0,9.22
10,Chokurdakh,RU,2022-02-09 23:20:53,70.6333,147.9167,-27.47,99,94,10.83
11,Tiksi,RU,2022-02-09 23:20:53,71.6872,128.8694,-12.21,93,100,13.02
12,Atuona,PF,2022-02-09 23:20:54,-9.8,-139.0333,78.64,77,20,17.63
13,Kavaratti,IN,2022-02-09 23:16:22,10.5669,72.642,79.12,72,99,15.35
14,Vaini,TO,2022-02-09 23:20:55,-21.2,-175.2,84.36,89,40,9.22
15,Mataura,NZ,2022-02-09 23:20:55,-46.1927,168.8643,71.47,76,92,2.15
16,Longyearbyen,SJ,2022-02-09 23:17:29,78.2186,15.6401,12.04,85,40,6.91
17,Grand Gaube,MU,2022-02-09 23:20:56,-20.0064,57.6608,75.6,78,19,3.0
18,Luderitz,NA,2022-02-09 23:20:56,-26.6481,15.1594,74.26,50,17,16.84
19,Vanderhoof,CA,2022-02-09 23:20:57,54.0166,-124.0198,51.12,76,96,16.93
20,Tasiilaq,GL,2022-02-09 23:20:57,65.6145,-37.6368,12.36,53,83,12.06
21,Udankudi,IN,2022-02-09 23:20:57,8.4333,78.0167,72.91,75,83,12.35
22,Tuktoyaktuk,CA,2022-02-09 23:20:58,69.4541,-133.0374,-23.8,69,75,14.97
23,Mahebourg,MU,2022-02-09 23:20:58,-20.4081,57.7,75.49,83,40,0.0
24,Puerto Ayora,EC,2022-02-09 23:20:59,-0.7393,-90.3518,75.04,76,74,7.61
25,Bluff,NZ,2022-02-09 23:20:59,-46.6,168.3333,71.8,89,76,1.21
26,Iqaluit,CA,2022-02-09 23:18:44,63.7506,-68.5145,-23.31,67,20,16.11
27,Punta Arenas,CL,2022-02-09 23:21:00,-53.15,-70.9167,50.11,53,75,26.46
28,Narsaq,GL,2022-02-09 23:21:00,60.9167,-46.05,16.02,74,93,9.78
29,Burnie,AU,2022-02-09 23:21:01,-41.0667,145.9167,65.95,59,79,10.38
30,Khatanga,RU,2022-02-09 23:21:01,71.9667,102.5,-4.65,94,99,14.07
31,Brewster,US,2022-02-09 23:21:02,41.3973,-73.6171,39.54,65,0,5.75
32,Hilo,US,2022-02-09 23:17:30,19.7297,-155.09,78.53,71,100,6.91
33,Guasdualito,VE,2022-02-09 23:21:03,7.2424,-70.7324,86.0,62,94,3.44
34,Port-Gentil,GA,2022-02-09 23:21:03,-0.7193,8.7815,81.18,81,89,7.99
35,Jamestown,US,2022-02-09 23:21:04,42.097,-79.2353,45.72,56,40,10.36
36,San Patricio,US,2022-02-09 23:21:04,28.017,-97.5169,75.18,29,0,5.44
37,Thompson,CA,2022-02-09 23:21:26,55.7435,-97.8558,-0.24,60,75,4.61
38,Kerchevskiy,RU,2022-02-09 23:21:26,59.946,56.2884,20.59,94,100,12.71
39,Norman Wells,CA,2022-02-09 23:21:27,65.282,-126.8329,-7.56,64,75,14.97
40,Yantal,RU,2022-02-09 23:21:28,56.8471,105.2542,-23.82,100,100,1.36
41,Rikitea,PF,2022-02-09 23:21:28,-23.1203,-134.9692,79.36,68,9,15.17
42,Ust-Nera,RU,2022-02-09 23:21:29,64.5667,143.2,-31.11,99,70,4.61
43,Kodiak,US,2022-02-09 23:21:29,57.79,-152.4072,20.71,38,0,25.32
44,Hermanus,ZA,2022-02-09 23:21:30,-34.4187,19.2345,64.8,89,71,3.4
45,Aktau,KZ,2022-02-09 23:22:30,43.65,51.2,34.38,64,94,16.82
46,Ribeira Grande,PT,2022-02-09 23:18:38,38.5167,-28.7,59.63,74,1,16.2
47,Evensk,RU,2022-02-09 23:22:31,61.95,159.2333,-10.48,73,23,4.68
48,Sangar,RU,2022-02-09 23:22:32,63.9242,127.4739,-34.31,100,100,2.66
49,Gizo,SB,2022-02-09 23:22:32,-8.103,156.8419,83.01,76,79,9.84
50,Nikolskoye,RU,2022-02-09 23:22:33,59.7035,30.7861,35.71,97,100,10.31
51,Busselton,AU,2022-02-09 23:22:33,-33.65,115.3333,61.09,66,8,10.16
52,Bathsheba,BB,2022-02-09 23:22:34,13.2167,-59.5167,77.61,73,40,18.41
53,Provideniya,RU,2022-02-09 23:22:34,64.3833,-173.3,-0.29,60,0,17.9
54,Saskylakh,RU,2022-02-09 23:22:34,71.9167,114.0833,-5.28,95,68,9.95
